study_id,wrd_cnt_phys,wrd_cnt_prox,uttr_cnt_phys,uttr_cnt_prox,nlm_spec_cnt,voa_cnt,nlm_minus_voa_cnt,fk_score,gf_score,mean_wrds_uttr_phys,median_wrds_uttr_phys,mean_wrds_uttr_prox,median_wrds_uttr_prox,pattern_sent,wwbp_to_past,wwbp_to_present,wwbp_to_future,pron_i_cnt,pron_my_cnt,pron_you_cnt,pron_your_cnt,pron_she_cnt,pron_her_cnt,pron_hers_cnt,pron_he_cnt,pron_his_cnt,phys_verb_cnt,phys_noun_cnt,phys_adjective_cnt,phys_adverb_cnt
61,1847,520,31,31,1321,987,335,1.8691554235500423,5.083501252111117,59.58064516129032,12.0,16.774193548387096,8.0,0.1492890885455541,-0.6373821486412475,0.22358721217169045,-0.5712656640491311,28,0,57,4,0,0,0,30,9,351,254,105,122
62,1147,428,44,45,743,513,230,0.21861524350044448,3.0246299958914977,26.068181818181817,14.0,9.511111111111111,7.0,0.17921412816574106,-0.6399780890737733,0.22384062615256575,-0.567763475044003,18,0,22,2,0,0,0,24,11,167,183,60,83
63,1661,449,38,38,1220,888,333,1.2444539181131162,4.482280766194894,43.71052631578947,23.0,11.81578947368421,5.5,0.11640823822642005,-0.6385370938606556,0.21781343804942907,-0.5665016390632689,34,0,31,1,0,0,0,34,16,289,265,106,109
64,2315,668,51,52,1614,1194,420,0.6629743497883975,3.766947688434135,45.3921568627451,22.0,12.846153846153847,10.0,0.11320022497187847,-0.6347241445542735,0.22372624867481342,-0.5737981899081219,62,2,63,6,0,0,0,26,6,418,289,117,158
65,1029,311,24,25,771,561,210,1.2928309748092595,4.174080388730234,42.875,4.5,12.44,6.0,0.1534231694231694,-0.6283757056140957,0.21420739284017024,-0.5708869093527249,14,0,20,0,0,0,0,21,11,170,157,75,57
41,1776,495,54,54,1251,852,400,0.698625246292341,3.4902556720978803,32.888888888888886,19.5,9.166666666666666,8.0,0.10661194006938686,-0.6304700442401825,0.21823628576006007,-0.574925726835099,52,2,57,13,0,0,0,55,10,340,256,90,95
66,3321,346,45,45,2472,1829,647,2.1732986229908047,5.282425884837091,73.8,49.0,7.688888888888889,6.0,0.0942638853061388,-0.6407766064566578,0.22703864409761954,-0.573141326389907,32,3,77,10,0,0,0,77,25,603,458,198,236
67,5592,740,85,86,3949,2835,1121,1.683299539802194,4.711742984922064,65.78823529411764,15.0,8.616279069767442,8.0,0.12178029235721535,-0.6356911735188836,0.22416680693675303,-0.5736975155574573,52,3,117,12,1,0,0,106,30,891,876,332,412
68,2917,376,40,40,2240,1638,603,2.10082397260274,5.357817351598174,72.925,43.0,9.4,5.0,0.1426423529122393,-0.6332912376736158,0.21897832688577676,-0.570722194617663,34,0,47,5,0,0,0,64,43,542,407,165,194
69,1613,1286,89,90,1193,865,330,1.3283894111825845,4.419099455714993,18.123595505617978,7.0,14.28888888888889,10.5,0.059912503252667164,-0.6425147711773215,0.2261580112379605,-0.5706729941619274,31,2,31,5,0,0,0,35,14,282,255,93,118
70,1732,278,35,34,1285,902,392,1.4567831088206837,4.556340534408965,49.48571428571429,19.0,8.176470588235293,6.5,-0.026209797147297167,-0.6359505093782545,0.22749233252355142,-0.5773304242936331,34,0,42,11,0,0,0,57,21,315,272,112,75
71,1271,424,51,52,950,650,302,1.879514594247837,5.073951316868029,24.92156862745098,19.0,8.153846153846153,2.0,0.17299998676145467,-0.6368673863639258,0.21960897716149813,-0.5683850035177436,16,0,21,4,0,0,0,34,26,218,232,84,84
72,7206,1736,226,225,5381,3919,1463,1.7497670094781537,4.80785810463111,31.884955752212388,19.0,7.724444444444444,2.0,0.12965783315783327,-0.6402821440677725,0.2236546730017366,-0.5705866979076895,121,12,128,26,0,0,0,36,22,1268,1194,544,411
73,1904,279,20,21,1429,1061,368,2.121387918316641,5.028035302947952,95.2,20.5,13.285714285714286,11.0,0.14050381364667086,-0.6519787076712374,0.22668306103956773,-0.5602763671845769,10,1,44,3,0,0,0,25,14,370,271,108,118
74,3765,845,116,116,2725,1963,766,1.1686868892651159,4.003147194571089,32.456896551724135,18.0,7.2844827586206895,2.5,0.16357708357708362,-0.6346279100797356,0.22085951359203726,-0.5735972378964574,65,6,94,22,0,0,0,48,24,660,598,237,227
75,5559,688,88,89,4097,2995,1103,1.1740507640089728,4.347529521559572,63.17045454545455,45.0,7.730337078651686,2.0,0.06332900980192642,-0.6401809953471337,0.22464269754663985,-0.5699624383154827,91,8,119,11,1,1,0,81,21,990,817,360,399
76,2142,507,55,56,1640,1197,443,2.4747920993327757,5.306950642923424,38.945454545454545,18.0,9.053571428571429,3.0,0.2144154240820908,-0.635738772896484,0.22001977321883226,-0.570691527627428,25,3,61,2,0,0,0,24,17,387,339,148,136
77,1713,259,32,33,1220,896,327,1.3973067946058109,4.218231327800829,53.53125,21.0,7.848484848484849,4.0,0.08481255766091833,-0.6364671652023414,0.22258933160450783,-0.5694676267506629,26,2,47,7,3,2,0,33,20,305,228,94,149
78,2402,313,75,75,1789,1265,525,1.138277868517763,4.086649687523791,32.026666666666664,28.0,4.173333333333333,2.0,0.14064033189033182,-0.6395385326556776,0.22166828010501738,-0.5672590163472839,42,2,74,13,1,0,0,44,25,464,329,134,168
79,2249,352,43,42,1519,1091,428,-0.2530460032517414,2.603890955255128,52.30232558139535,39.0,8.380952380952381,5.0,0.1684158102287873,-0.6393764275476177,0.22313079738827402,-0.567205807960616,23,3,76,4,0,0,0,36,19,425,283,128,132
